Fecha;Semáforo;Uso de camas UCI
12/4/2020;Amarillo;65%
13/4/2020;Amarillo;65%
15/4/2020;Amarillo;65%
16/4/2020;Amarillo;65%
18/4/2020;Amarillo;63%
19/4/2020;Amarillo;64%
21/4/2020;Amarillo;64%
22/4/2020;Amarillo;65%
23/4/2020;Amarillo;66%
29/4/2020;Amarillo;68%
30/4/2020;Amarillo;66%
1/5/2020;Amarillo;66%
2/5/2020;Amarillo;67%
3/5/2020;Amarillo;68%
6/5/2020;Amarillo;73%
7/5/2020;Amarillo;75%
8/5/2020;Amarillo;77%
9/5/2020;Amarillo;76%
12/5/2020;Amarillo;78%
13/5/2020;Amarillo;78%
14/5/2020;Naranjo;81%
15/5/2020;Naranjo;80%
16/5/2020;Naranjo;81%
17/5/2020;Naranjo;82%
18/5/2020;Naranjo;84%
19/5/2020;Naranjo;83%
20/5/2020;Naranjo;84%
21/5/2020;Naranjo;84%
23/5/2020;Naranjo;85%
24/5/2020;Rojo;86%
26/5/2020;Rojo;87%
27/5/2020;Rojo;87%
28/5/2020;Rojo;87%
29/5/2020;Rojo;87%
31/5/2020;Rojo;88%
1/6/2020;Rojo;88%
2/6/2020;Rojo;88%
3/6/2020;Rojo;88%
4/6/2020;Rojo;87%
5/6/2020;Rojo;87%
6/6/2020;Rojo;86%
7/6/2020;Rojo;87%
8/6/2020;Rojo;88%
9/6/2020;Rojo;86%
10/6/2020;Rojo;87%
11/6/2020;Rojo;89%
12/6/2020;Rojo;88%
13/6/2020;Rojo;88%
14/6/2020;Rojo;89%
15/6/2020;Rojo;90%
16/6/2020;Rojo;90%
17/6/2020;Rojo;90%
18/6/2020;Rojo;89%
19/6/2020;Rojo;90%
20/6/2020;Rojo;90%
21/6/2020;Rojo;90%
22/6/2020;Rojo;90%
23/6/2020;Rojo;90%
24/6/2020;Rojo;89%
25/6/2020;Rojo;89%
26/6/2020;Rojo;89%
27/6/2020;Rojo;89%
28/6/2020;Rojo;89%
29/6/2020;Rojo;90%
30/6/2020;Rojo;89%
1/7/2020;Rojo;89%
2/7/2020;Rojo;88%
4/7/2020;Rojo;88%
5/7/2020;Rojo;87%
6/7/2020;Rojo;88%
7/7/2020;Rojo;86%
8/7/2020;Rojo;86%
9/7/2020;Naranjo;85%
10/7/2020;Naranjo;84%
11/7/2020;Naranjo;84%
12/7/2020;Naranjo;85%
13/7/2020;Naranjo;84%
14/7/2020;Naranjo;84%
15/7/2020;Naranjo;83%
17/7/2020;Naranjo;83%
18/7/2020;Naranjo;84%
19/7/2020;Naranjo;83%
20/7/2020;Naranjo;83%
21/7/2020;Naranjo;82%
23/7/2020;Naranjo;81%
24/7/2020;Naranjo;82%
25/7/2020;Naranjo;82%
26/7/2020;Naranjo;82%
27/7/2020;Naranjo;81%
28/7/2020;Naranjo;81%
30/7/2020;Naranjo;80%
31/7/2020;Naranjo;80%
1/8/2020;Amarillo;79%
2/8/2020;Amarillo;79%
3/8/2020;Naranjo;80%
4/8/2020;Amarillo;79%
5/8/2020;Naranjo;80%
6/8/2020;Amarillo;79%
7/8/2020;Amarillo;80%
8/8/2020;Amarillo;78%
9/8/2020;Amarillo;78%
10/8/2020;Amarillo;78%
11/8/2020;Amarillo;79%
12/8/2020;Amarillo;77%
13/8/2020;Amarillo;77%
14/8/2020;Amarillo;76%
15/8/2020;Amarillo;75%
16/8/2020;Amarillo;76%
17/8/2020;Amarillo;75%
18/8/2020;Amarillo;75%
19/8/2020;Amarillo;74%
20/8/2020;Amarillo;75%
21/8/2020;Amarillo;74%
22/8/2020;Amarillo;73%
23/8/2020;Amarillo;75%
24/8/2020;Amarillo;75%
25/8/2020;Amarillo;75%
26/8/2020;Amarillo;75%
27/8/2020;Amarillo;74%
28/8/2020;Amarillo;75%
29/8/2020;Amarillo;74%
30/8/2020;Amarillo;75%
31/8/2020;Amarillo;75%
1/9/2020;Amarillo;77%
2/9/2020;Amarillo;76%
3/9/2020;Amarillo;75%
4/9/2020;Amarillo;76%
5/9/2020;Amarillo;76%
6/9/2020;Amarillo;77%
7/9/2020;Amarillo;77%
8/9/2020;Amarillo;77%
9/9/2020;Amarillo;78%
10/9/2020;Naranjo;81%
11/9/2020;Amarillo;80%
12/9/2020;Naranjo;80%
13/9/2020;Amarillo;80%
14/9/2020;Naranjo;80%
15/9/2020;Amarillo;80%
16/9/2020;Amarillo;79%
17/9/2020;Amarillo;78%
19/9/2020;Amarillo;78%
20/9/2020;Amarillo;79%
21/9/2020;Amarillo;78%
22/9/2020;Amarillo;78%
23/9/2020;Amarillo;77%
24/9/2020;Amarillo;77%
25/9/2020;Amarillo;78%
26/9/2020;Amarillo;78%
27/9/2020;Amarillo;78%
28/9/2020;Amarillo;77%
29/9/2020;Amarillo;77%
30/9/2020;Amarillo;77%
1/10/2020;Amarillo;77%
2/10/2020;Amarillo;78%
3/10/2020;Amarillo;77%
4/10/2020;Amarillo;78%
5/10/2020;Amarillo;77%
6/10/2020;Amarillo;77%
7/10/2020;Amarillo;77%
8/10/2020;Amarillo;77%
9/10/2020;Amarillo;77%
10/10/2020;Amarillo;77%
11/10/2020;Amarillo;77%
12/10/2020;Amarillo;77%
13/10/2020;Amarillo;79%
14/10/2020;Amarillo;78%
15/10/2020;Amarillo;78%
16/10/2020;Amarillo;77%
17/10/2020;Amarillo;78%
19/10/2020;Amarillo;77%
20/10/2020;Amarillo;77%
21/10/2020;Amarillo;78%
